ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
1,Sidi Ali,Sidi Ali,6111035000430,Eau,2.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0,1,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035000430/sidi-ali,2025-10-17,,,,,,
2,اكوافينا,AQUAFINA,6111252421568,Eau,0.0,0.0,0.0,0.0,0.2,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111252421568/coca-cola-aquafina,2025-10-17,,,,,,
3,Eau De Source,Cristaline,3274080005003,Eau,0.0,0.0,0.0,0.0,21.0,0.052,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3274080005003/eau-de-source-cristaline,2025-10-17,,,,,,
4,Ain Saïss,Danone,6111128000071,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111128000071/ain-saiss-danone,2025-10-17,,,,,,
5,Eau minéral naturelle,Ain atlas,6111035502828,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035502828/eau-mineral-naturelle-ain-atlas,2025-10-17,,,,,,
6,Orange juice,Coca cola,5449000147417,Autre boisson,165.0,39.0,0.0,17.0,50.4,0.126,0.0,5.0,0,15,E,51.0,C,NON,7,"e160a, e300, e414, e440, e445, e950, e954",https://world.openfoodfacts.org/product/5449000147417/orange-juice-coca-cola,2025-10-17,,,,,,
7,"coca cola 0,5",Coca-Cola,54491472,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/54491472/coca-cola-0-5,2025-10-17,,,,,,
8,Ciel,THE COCA-COLA COMPANY,5449000061515,Eau,0.0,0.0,0.0,0.0,20.0,0.05,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/5449000061515/ciel-the-coca-cola-company,2025-10-17,,,,,,
9,Geröstete Mandel Ohne Zucker,alpro,5411188112709,Autre boisson,61.0,15.0,0.1,0.0,60.0,0.15,0.5,0.3,0,1,B,69.0,B,NON,3,"e322, e412, e418",https://world.openfoodfacts.org/product/5411188112709/nutty-almond-alpro,2025-10-17,,,,,,
10,Aïn Atlas 50cl,Aïn Atlas,6111035001673,Eau,0.0,0.0,0.0,0.0,9.6,0.024,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035001673/ain-atlas-50cl,2025-10-17,,,,,,
11,Green Tea,green tea,6923818812082,Thé,200.0,0.5,0.5,0.2,40.0,0.1,0.5,0.2,0,3,C,80.0,A,NON,0,,https://world.openfoodfacts.org/product/6923818812082/pe20-12-20-24-e-20-12-2-029-green-tea,2025-10-17,,,,,,
12,RICORE Original,"Nestlé, Ricore",3033710073467,Café,577.0,141.0,0.1,9.1,92.0,0.23,2.7,45.3,0,0,B,-5.0,F,NON,0,,https://world.openfoodfacts.org/product/3033710073467/ricore-original-nestle,2025-10-17,,,,,,
13,Pulco Citron,"Orangina Schweppes France,Pulco,Schweppes International Limited",3225350000501,Autre boisson,99.0,11.5,0.0,0.4,4.0,0.01,0.1,5.0,0,0,B,112.0,A-PLUS,OUI,1,e330,https://world.openfoodfacts.org/product/3225350000501/pulco-lemon-orangina-schweppes-france,2025-10-17,,,,,,
14,Nesquik,Nestlé,7613039490266,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,49.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613039490266/nesquik-nestle,2025-10-17,,,,,,
15,Ricoré original,Nestlé,7613035676497,Café,577.0,141.0,0.1,9.1,92.0,0.23,2.7,45.3,0,0,B,-9.0,F,NON,0,,https://world.openfoodfacts.org/product/7613035676497/ricore-original-cafe-chicoree-boite-260g-nestle,2025-10-17,,,,,,
16,Mandelmilch mit Zucker,alpro,5411188110835,Boisson lactée,93.0,22.0,0.1,2.4,56.0,0.14,0.4,0.4,0,4,C,89.0,A,OUI,2,"e322, e418",https://world.openfoodfacts.org/product/5411188110835/mediterranean-nutty-almond-alpro,2025-10-17,,,,,,
17,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,Bjorg,3229820787015,Boisson lactée,102.0,25.0,0.2,0.5,20.0,0.05,0.7,0.5,0,2,B,79.0,A,OUI,2,"e412, e415",https://world.openfoodfacts.org/product/3229820787015/amande-sans-sucres-bjorg,2025-10-17,,,,,,
